,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,result_x,result_y
28,0,0,0,-61,-39,0,-64,-80,0,-72,0,-93,-84,0,0,0,-82,0,0,-69,0,0,0,2
29,0,0,0,-70,-50,0,-55,-82,0,-64,0,-91,0,0,0,0,-82,0,0,-70,0,0,0,2
30,-94,0,0,-67,-50,0,-58,-87,0,-79,-90,-91,0,0,0,0,-86,0,0,-77,0,0,0,2
31,0,0,0,-67,-48,0,-57,-89,0,-77,0,0,0,-88,0,0,-83,0,0,-73,0,0,0,2
32,0,0,0,-75,-58,0,-58,-81,0,-81,0,0,0,-87,0,0,-85,0,-82,-83,-92,0,0,4
33,-94,0,0,-73,-65,0,-59,-88,0,-76,-72,0,-78,-86,0,0,0,0,0,-86,-92,0,0,4
34,-94,0,0,-75,-57,0,-62,-88,0,-78,-73,0,-77,-85,0,0,0,0,-87,-89,0,0,0,4
35,0,0,0,-73,-59,0,-63,-88,0,-74,-75,0,-77,-87,0,0,0,0,-80,-90,0,0,0,4
36,0,0,0,-72,-54,0,-64,-85,0,-77,-75,0,0,-83,0,0,0,0,-84,-90,0,0,0,4
37,0,0,0,-64,-44,0,-58,-80,0,-78,0,0,-81,0,0,0,-89,0,-82,-89,0,0,0,4
38,0,-92,0,-70,-55,0,-62,-84,0,-84,-71,0,-80,-89,0,0,0,0,-83,-90,0,0,0,4
39,0,-92,0,-70,-55,0,-62,-84,0,-84,-71,0,-80,-89,0,0,0,0,-83,-90,0,0,0,4
40,0,0,0,0,-52,0,-60,-87,0,-77,-73,0,-83,-89,0,0,0,0,-81,-91,0,0,0,4
41,0,0,0,-67,-60,0,-66,-83,0,-77,0,0,0,-84,0,0,-86,0,-80,-89,0,0,0,6
42,0,0,0,-69,-59,0,-59,-77,0,-80,-69,-85,-64,0,0,0,-86,0,-76,-86,0,-88,0,6
43,0,0,0,-71,-62,0,-61,-77,0,-85,-69,-85,-64,-85,0,0,0,0,-75,-85,0,0,0,6
44,0,-86,0,-65,-62,0,-61,-85,0,-86,0,-86,-67,-85,0,0,-86,0,-75,0,0,0,0,6
45,0,-86,0,-68,-60,0,-61,-82,0,-89,0,-86,-65,-84,0,-89,-86,0,-74,-86,0,-89,0,6
46,0,-93,-83,-68,-46,0,-60,-84,0,-82,-73,-89,-81,-85,0,0,-85,0,-85,-96,0,0,0,6
47,0,0,-83,-68,-45,0,-59,-76,0,-87,-73,-88,-68,0,0,0,-84,0,-82,-87,0,0,0,6
48,-87,0,-83,-71,-42,0,-60,-85,0,-81,-73,-88,-65,0,0,0,0,0,-78,-83,0,0,0,6
49,0,0,0,-74,-58,-90,-71,-76,0,0,0,0,0,-92,0,0,-83,0,0,-76,0,0,2,-2
50,0,0,0,-68,-65,0,-69,-75,0,0,0,0,0,0,0,0,-85,0,0,-75,0,0,2,-2
51,0,0,0,-67,-73,0,-70,-76,0,-77,0,0,0,0,0,0,-86,0,0,-73,0,0,2,-2
52,0,0,0,-67,-66,0,-73,-80,0,0,0,0,0,-88,0,0,-84,0,0,-74,0,0,2,-2
53,0,0,0,-69,-66,0,-68,-81,0,0,0,0,0,-90,0,0,-85,0,0,-78,0,0,2,-2
54,0,0,0,-74,-62,0,-81,-81,0,-80,0,0,0,0,0,0,-88,0,0,-79,0,0,2,-2
55,0,0,0,-72,-66,0,-72,-78,0,-78,0,0,0,-92,0,0,-85,0,-93,-75,0,0,2,-2
56,0,0,0,-74,-67,0,-69,-78,0,0,0,0,0,-93,0,0,-85,0,-93,-77,0,0,2,-2
57,0,0,0,-69,-59,-89,-76,-82,0,-87,0,0,-89,0,0,0,-91,0,0,-85,0,0,2,-4
58,0,-94,0,-73,-64,-91,-80,-75,0,-86,-93,-94,0,0,0,0,-94,0,0,-82,0,0,2,-4
59,0,-94,0,-80,-64,-89,-82,-75,0,-86,-93,-94,0,0,0,0,0,0,0,-82,0,0,2,-4
60,0,0,0,-70,-77,-90,-74,-82,0,0,0,0,-74,-86,0,0,0,0,0,-86,0,0,2,-4
61,0,0,0,-77,-68,-88,-75,-78,0,0,0,0,0,-95,0,0,0,0,0,-90,0,0,2,-4
62,-92,0,0,-75,-59,0,-70,-75,0,0,0,0,0,-91,0,0,-90,0,0,-83,0,0,2,-4
63,0,0,0,-74,-70,-89,-78,-75,0,-86,0,-92,0,-92,0,0,0,0,0,-85,0,0,2,-4
64,0,0,0,-74,-74,-89,-80,-78,0,0,0,-92,0,0,0,0,0,0,0,-87,0,0,2,-4
