,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,result_x,result_y
61,-73,-69,0,-94,0,0,-76,0,-78,-94,-82,0,-79,-74,-90,-76,0,0,0,0,-82,-70,-81,-87,0,-76,-56,-75,0,-81,0,0,-76,-89,-81,-74,0,0,4,0
62,-73,-69,0,-94,0,0,-76,0,-81,0,-81,0,-77,-73,-83,-76,0,0,0,0,-82,-68,0,-87,0,-78,-55,-75,0,-81,-78,0,-74,-89,-81,-75,0,0,4,0
63,-85,-82,0,0,0,0,-81,0,-91,-92,-91,0,0,-83,-85,-83,0,-91,0,0,0,-86,-93,0,-92,-91,-76,-91,0,-75,-77,0,-90,0,-85,-84,0,0,4,5
64,-87,-70,0,0,0,0,-77,0,-80,-90,-77,0,0,-74,-90,-73,0,0,0,0,0,-88,0,-86,0,-87,-60,-83,0,0,-69,0,-74,0,-74,-85,0,0,4,5
65,-87,-65,0,0,0,0,-80,0,-84,-90,-75,0,0,-76,-86,-73,0,0,0,0,0,-88,0,-92,0,-87,-56,-75,0,0,-71,0,-74,0,-74,-84,-90,0,4,5
66,-73,-79,0,0,0,0,-84,0,-87,0,-81,0,-80,-73,-83,-76,0,0,0,0,0,-76,-89,0,0,-78,-69,-75,0,-81,-78,0,-79,0,-85,-83,0,0,5,0
67,0,-68,0,0,0,0,-79,0,-86,0,-79,0,-80,-76,0,-80,0,0,0,0,0,-80,-85,0,0,-86,-61,-75,0,-82,0,0,-77,0,-77,-78,0,0,5,0
68,-74,-66,0,0,0,0,-77,0,-84,-81,-82,0,0,-76,0,-75,0,0,0,0,0,-80,-85,0,0,-85,-58,-75,0,-80,-76,0,-74,0,-73,-79,0,0,5,0
69,-70,-70,0,0,0,0,-75,0,-82,-87,-74,0,-75,-75,0,-75,0,0,0,0,0,-74,-78,0,-86,0,-58,-70,0,-85,-75,0,-81,0,-68,-81,-77,-85,5,1
70,-69,-69,0,0,0,0,-80,0,-82,0,-77,0,-79,-78,0,-72,0,0,0,-95,-76,-77,0,0,-86,-84,-62,-69,0,-85,-78,-83,-88,0,-79,-75,0,-85,5,1
71,-76,-69,0,0,0,0,-76,0,-82,-78,-79,0,-74,-76,-87,-75,0,0,0,-95,-76,-68,0,0,0,-82,-66,-69,0,-86,-74,-83,-76,0,-80,-75,0,0,5,1
72,-82,-79,0,0,0,0,-81,0,-94,-94,-80,0,-73,-85,0,-83,0,-79,0,0,-76,-71,-79,-89,0,0,-74,-84,0,-92,0,0,-86,0,-90,-78,0,0,5,2
73,-67,-64,0,0,0,0,-79,0,-79,-91,-77,0,0,-85,0,-76,0,0,0,0,0,-77,0,0,0,-86,-58,-80,0,0,0,0,-78,0,-78,-78,0,0,5,2
74,-72,-64,0,0,0,0,-79,0,-79,-80,-75,0,-80,-76,-86,-78,0,0,0,0,0,-74,-83,0,0,-91,-60,-74,0,-79,-77,0,-77,0,-81,-75,0,0,5,2
75,-68,-75,0,0,0,0,-81,0,-85,-80,-75,0,-82,-88,-90,-79,0,0,0,0,0,-86,-83,0,0,-91,-67,-88,0,-81,0,0,-90,0,0,-83,0,-82,5,3
76,0,-74,0,0,0,0,-85,0,-81,0,-79,0,-76,-78,0,-75,0,0,0,0,0,-82,-93,-83,0,0,-61,-78,0,-73,0,0,-76,0,-78,-82,0,0,5,3
77,-70,-65,0,0,0,0,-85,0,-86,-80,-77,0,-80,-78,-87,-79,0,0,0,0,0,-78,-93,-83,0,0,-57,-77,0,-76,-79,0,-74,0,-78,-82,0,0,5,3
78,-70,-65,0,0,0,0,-83,0,-87,-80,-77,0,-80,-88,-89,-78,0,0,0,0,0,-80,0,0,0,0,-68,-89,0,-78,-79,0,-86,0,0,-85,0,0,5,4
79,-81,-73,0,0,0,0,-79,0,-83,0,-76,0,0,-80,0,-68,0,-83,0,0,0,-84,0,0,0,0,-63,-77,0,-86,-75,0,-77,0,-75,-85,0,0,5,4
80,-81,-68,0,0,0,0,-79,0,-82,-84,-74,0,0,-79,-84,-68,0,-83,0,0,0,-75,0,0,0,0,-56,-77,0,-78,-75,0,-79,0,-79,-78,0,0,5,4
81,-66,-63,0,0,0,0,-81,0,-88,-84,-74,0,0,-79,-89,-70,0,-81,0,0,0,-75,-91,0,0,0,-58,-67,-78,-78,-75,0,-78,0,-68,-77,0,0,5,5
82,-71,-68,0,0,0,0,-81,0,-88,-84,-74,0,0,-76,-85,-70,0,-81,0,0,0,-83,-91,0,-81,0,-58,-71,-78,-82,0,0,-86,0,-68,-87,0,0,5,5
83,-71,-66,0,0,0,0,-81,0,-88,-89,-74,0,0,-78,-85,-79,0,-81,0,0,0,-76,-91,0,-81,0,-56,-75,-78,-76,0,0,-75,0,-73,-83,0,0,5,5
