-2	0	0	0	0	-54	-65	0	-67	-63	0	0	0	0	0	-94	0	0	-70	0	0	-63	0	0	
-2	0	0	0	0	-60	0	0	-65	-68	0	0	0	0	0	0	0	0	-69	-95	0	-62	0	0	
-2	0	0	0	0	-58	0	0	-65	-61	0	0	0	0	0	0	0	0	-69	0	0	-64	0	0	
-2	0	0	0	0	-59	0	0	-67	-64	0	-73	0	0	0	0	0	0	-75	0	0	-61	0	0	
-2	0	0	0	0	-55	0	0	-66	-63	0	0	0	0	0	0	0	0	-67	0	0	-61	0	0	
-2	0	0	0	0	-56	0	0	-65	-71	0	0	0	0	0	0	0	0	-69	0	0	-64	0	0	
-2	0	0	0	0	-60	0	0	-64	-73	0	0	0	0	0	0	0	0	-66	0	0	-64	0	0	
-2	0	0	0	0	-56	0	0	-64	-66	0	0	0	0	0	0	0	0	-72	0	0	-62	0	0	
-2	2	0	0	0	-66	0	0	-79	-69	0	0	0	0	-91	0	0	0	-74	0	0	-70	0	0	
-2	2	0	0	0	-62	0	0	-85	-71	0	0	0	0	0	0	0	0	-73	0	0	-71	0	0	
-2	2	0	0	0	-60	0	0	-84	-79	0	-80	0	0	0	0	0	0	-74	0	0	-68	0	0	
-2	2	0	0	0	-62	0	0	-78	-71	0	0	0	0	0	0	-94	0	-73	0	0	-72	0	0	
-2	2	0	0	0	-54	0	0	-79	-76	0	-78	0	0	0	0	0	0	-72	0	0	-67	0	0	
-2	2	0	0	0	-66	0	0	-76	-69	0	-71	0	0	0	0	0	0	-72	0	0	-70	0	0	
-2	2	0	0	0	-63	0	0	-82	-72	0	0	0	0	0	0	0	0	-83	0	-91	-74	0	0	
-2	2	0	0	0	-60	0	0	-80	-74	0	0	0	0	0	0	0	0	-71	0	0	-71	0	0	
0	0	0	0	0	-62	-42	0	-70	-69	0	-65	0	0	-83	-89	0	0	-77	0	0	-72	0	0	
0	0	-94	0	0	-67	-41	0	-63	-67	0	-69	0	0	0	0	0	0	-85	0	-86	-74	0	0	
0	0	-94	0	0	-58	-39	0	-64	-68	0	-64	0	0	0	0	0	0	-79	0	0	-71	0	0	
0	0	0	-94	0	-65	-39	0	-61	-69	0	-65	0	0	0	0	0	0	-81	0	0	-71	0	0	
