0	0	-72.7028124701	-65.6905188336	-82.6523325332	-104.421143945	-84.0839804702	
0	2	-71.479238964	-65.6014874419	-82.6544189048	-104.432685534	-79.6864001893	
0	4	-70.0547779884	-65.6301582135	-82.6397165122	-104.418280288	-76.7325932246	
0	6	-68.3502809495	-65.7673035003	-82.6047554977	-104.377584034	-78.5595753556	
0	8	-60.7690500845	-66.2283114501	-85.029241724	-107.307000225	-81.8043086431	
0	10	-58.0077161574	-69.0184498804	-77.7894802048	-94.4203739831	-82.5692966833	
0	12	-53.9853962468	-65.2686307885	-79.5483918913	-93.3667421719	-95.4972116964	
0	14	-42.8461267592	-70.055836904	-77.2205446987	-89.9025442077	-90.1066433134	
0	16	-41.4577794648	-67.6902507521	-77.7733720634	-90.5517002396	-90.1092774018	
0	18	-47.7438055986	-68.7006856256	-80.1647029355	-98.2235677024	-90.0862832258	
2	0	-72.7033408149	-63.7459415357	-81.7116179459	-103.917440176	-88.5218688958	
2	2	-71.4799163389	-63.6087508982	-81.7142163443	-103.930403775	-83.2374209863	
2	4	-70.0556674993	-63.6536578763	-81.6957759344	-103.914225319	-81.1132502838	
2	6	-68.351473588	-63.8595061284	-81.6511025282	-103.868484756	-76.2295643836	
2	8	-60.7792180287	-66.8172130663	-78.6154737973	-100.873451416	-75.5318457631	
2	10	-58.0259571174	-63.2347019964	-78.566947442	-93.6045869412	-81.5992536699	
2	12	-54.025216819	-64.6125465026	-73.6065786213	-92.6507567027	-88.8451774703	
2	14	-43.1656649201	-66.193979262	-76.6767258928	-94.5889382024	-89.3622228503	
2	16	-41.8918383357	-71.5269971795	-79.190778047	-92.6812590665	-89.3653519935	
2	18	-47.8498569853	-68.4553714101	-76.3454942864	-90.4497025102	-89.3379914917	
4	0	-67.7885833335	-61.25539255	-80.6563788513	-103.382622574	-87.8632960288	
4	2	-66.6073811763	-61.019572498	-80.6597042715	-103.39728118	-87.6422870365	
4	4	-65.2453382184	-61.0993223688	-80.6358733206	-103.378984385	-78.0911188601	
4	6	-68.3566176784	-61.4366592782	-80.5767767563	-103.327191729	-75.2054006705	
4	8	-61.2551841872	-60.5743933039	-75.8653624989	-99.8934917425	-74.6341020241	
4	10	-54.6810219413	-62.4149319709	-77.5688713729	-92.7677075935	-80.5371997471	
4	12	-52.3187234498	-64.0518919875	-72.797469622	-86.5183018227	-88.7727624614	
4	14	-50.3349114624	-65.8582983057	-78.0947288931	-91.1828964052	-88.5478737387	
4	16	-50.1177089487	-69.8095194969	-78.3717379253	-97.2327129589	-88.55164938	
4	18	-51.7096543139	-70.7289102989	-81.9670073743	-91.6552600367	-88.5185417221	
6	0	-75.1179311111	-52.8076862228	-73.9477527258	-97.3004553939	-74.8383341649	
6	2	-74.0106613417	-51.8242089698	-73.945904931	-97.3126430207	-81.9745661263	
6	4	-72.7857828206	-52.1559187844	-73.9569065379	-97.2974255521	-76.497610471	
6	6	-68.2377428798	-53.5626530323	-73.9695215245	-97.2541880896	-74.1748148492	
6	8	-58.0868323279	-59.4836889254	-76.3128098342	-99.2548019782	-73.6887965853	
6	10	-56.633589861	-57.4235334808	-71.4528177897	-91.4473682178	-79.4257515651	
